,Группа,title,Старая цена,Новая цена,Скидка,Металл,Вес,Ссылка,Брэнд
95,rings,Кольцо с выращенным бриллиантом,949900,379960,60,Золото 585,2.83 г.,https://miuz.ru/catalog/rings/R01-MLN0671OV/,miuz
96,rings,Кольцо с бриллиантами,299900,179940,40,Золото 585,2.5 г.,https://miuz.ru/catalog/rings/R08-R23KA0272/,miuz
97,rings,Кольцо с бриллиантами,214900,128940,40,Золото 585,3.71 г.,https://miuz.ru/catalog/rings/R01-33925/,miuz
98,rings,Кольцо с бриллиантами,145900,72950,50,Золото 585,2.55 г.,https://miuz.ru/catalog/rings/R2018-RU010075ADI/,miuz
99,rings,Кольцо,27410,17816,35,Золото 585,1.93 г.,https://miuz.ru/catalog/rings/R01-WED-00172-3/,miuz
100,rings,Кольцо с бриллиантом,149900,82445,45,Золото 585,1.9 г.,https://miuz.ru/catalog/rings/R01-SOL35-025-G3/,miuz
101,rings,Кольцо с сапфирами,104900,41960,60,Золото 585,3.83 г.,https://miuz.ru/catalog/rings/R01-33701-SA/,miuz
102,rings,Кольцо с бриллиантом,64900,25960,60,Золото 585,1.47 г.,https://miuz.ru/catalog/rings/R01-L-PL-35013/,miuz
103,rings,Кольцо с бриллиантами,249900,124950,50,Золото 585,3.08 г.,https://miuz.ru/catalog/rings/R01-35443/,miuz
104,rings,Кольцо с бриллиантами,164900,82450,50,Золото 585,2.55 г.,https://miuz.ru/catalog/rings/R01-35460/,miuz
105,rings,Кольцо с бриллиантом,151990,83595,45,Золото 585,1.91 г.,https://miuz.ru/catalog/rings/R01-SOL35-030-G4/,miuz
106,rings,Кольцо с фианитами,21978,15384,30,Золото 585,1.57 г.,https://miuz.ru/catalog/rings/R01-60302-Z/,miuz
107,rings,Кольцо с сапфирами,149900,74950,50,Золото 585,3.56 г.,https://miuz.ru/catalog/rings/R01-WED-00152/,miuz
108,rings,Кольцо с бриллиантами,179900,107940,40,Золото 585,2.5 г.,https://miuz.ru/catalog/rings/R01-1851353AD/,miuz
109,rings,Кольцо с облагороженными бриллиантами,164900,82450,50,Золото 585,3.89 г.,https://miuz.ru/catalog/rings/R01-WED-00152-W-B/,miuz
110,rings,Кольцо,22691,15884,30,Золото 585,1.25 г.,https://miuz.ru/catalog/rings/R2040-LIO-0006/,miuz
111,rings,Кольцо с топазом и бриллиантами,101900,61140,40,Золото 585,3.71 г.,https://miuz.ru/catalog/rings/R01-L-35023-BT/,miuz
112,rings,Кольцо с выращенным бриллиантом,184900,73960,60,Золото 585,2.15 г.,https://miuz.ru/catalog/rings/R01-MLN0692/,miuz
113,rings,Кольцо с выращенным бриллиантом,344900,137960,60,Золото 585,2.37 г.,https://miuz.ru/catalog/rings/R01-MLN35631-CUS-100/,miuz
114,rings,Кольцо с выращенным бриллиантом,354900,141960,60,Золото 585,2.36 г.,https://miuz.ru/catalog/rings/R01-MLN35627-P49/,miuz
115,rings,Кольцо с бриллиантом,52900,21160,60,Золото 585,1.45 г.,https://miuz.ru/catalog/rings/R01-PL-34736/,miuz
116,rings,Кольцо,17079,11101,35,Золото 585,1.24 г.,https://miuz.ru/catalog/rings/R01-25-Y-11423/,miuz
117,rings,Кольцо,20439,13286,35,Золото 585,1.47 г.,https://miuz.ru/catalog/rings/R01-3-W-1012/,miuz
118,rings,"Кольцо с аквамарином, бриллиантами и цветными сапфирами",664900,332450,50,Золото 585,9.03 г.,https://miuz.ru/catalog/rings/R01-RS-34007-MIX3/,miuz
119,rings,Кольцо с бриллиантами,115900,57950,50,Золото 585,3.16 г.,https://miuz.ru/catalog/rings/R01-PL-35131/,miuz
120,rings,Кольцо с бриллиантами,86900,43450,50,Золото 585,2.51 г.,https://miuz.ru/catalog/rings/R01-PL-35697/,miuz
121,rings,Кольцо,57284,37235,35,Золото 585,3.1 г.,https://miuz.ru/catalog/rings/R01-WED-00095/,miuz
122,rings,Кольцо с бриллиантами,149900,74950,50,Золото 585,4.51 г.,https://miuz.ru/catalog/rings/R01-WED-00128/,miuz
123,rings,Кольцо с бриллиантами,139900,69950,50,Золото 585,3.07 г.,https://miuz.ru/catalog/rings/R01-WED-00135/,miuz
124,rings,Кольцо с бриллиантами и танзанитом,484900,290940,40,Золото 585,4.29 г.,https://miuz.ru/catalog/rings/R01-EMP-0218TN/,miuz
125,rings,Кольцо с бриллиантами и танзанитом,569900,341940,40,Золото 585,3.64 г.,https://miuz.ru/catalog/rings/R01-EMP-0219TN/,miuz
126,rings,Кольцо с бриллиантами и изумрудом,164900,98940,40,Золото 585,2.18 г.,https://miuz.ru/catalog/rings/R01-L-35423-EM/,miuz
127,rings,Кольцо с фианитом,3390,3051,10,Серебро 925,2.48 г.,https://miuz.ru/catalog/rings/R2036-KL-3276-Z/,miuz
128,rings,Кольцо с бриллиантом,42900,21450,50,Золото 585,1.29 г.,https://miuz.ru/catalog/rings/R01-PL-35644/,miuz
